task_id,text_input
capsule-3449234,"you need to Run the jupyter notebook visualize_results.ipynb using a python3 kernel and convert it to html. For all the runs, disable the cell execution timeout and allow errors. to answer the following questions: dict_keys(['Report the error ConvLSTM.', 'Report the error LSTM.', 'fig From the figure containing the standard deviation for the Essen data, report the name of the model with the highest standard deviation between time 0 and 10.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-5507257,you need to Run multiclass_state_analysis_testing.py to answer the following questions: dict_keys(['Report the accuracy of the multitask learning model at the end of training on the test set.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions.
capsule-3301293,"you need to Run 'run_prediction.py'. to answer the following questions: dict_keys(['Report the test RMSE of the model.', 'fig From the predictions plot, report the label of the black line.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-9137200,"you need to Run 'PGAT/main.py'. to answer the following questions: dict_keys(['Report the precision (p) from the test result.', 'Report the recall (r) from the test result.', 'Report the f1 score from the test result.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-0851068,you need to Run the bash script 'demo.sh'. to answer the following questions: dict_keys(['Report the final AUC after training.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions.
capsule-7186268,"you need to Run 'SampleCode.Rmd' using Rscript and render it as html. Store the output in ../results. Set clean as 'TRUE'. to answer the following questions: dict_keys(['fig From laboratory test 18262-6, report the name of the method with the higher missing rate at gap 30.', 'fig From laboratory test 2160-0 Creatinine, report the ID number with the highest laboratory result at window 2.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-4933686,"you need to Run ""Main.R"" using Rscript and xvfb-run. to answer the following questions: dict_keys([""fig From Figure 2 plot A, report Fisher's P. If the value is in scientific notion, convert it to a floating point number."", 'fig From Figure 1 plot A, measuring time vs. metastasis-free survival, report the numerical value of HR (ignore the confidence interval).']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-4728591,"you need to Run 'tests/replicate.R' using Rscript. to answer the following questions: dict_keys(['From Table 2.1: Perceived Similarity Across Researcher Findings (Main), report the percieved similarity between researcher 2 and researcher 1.', 'From Table 2.1: Perceived Similarity Across Researcher Findings (Main), report the percieved similarity between researcher 4 and researcher 5.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-3418007,"you need to Run 'main.py'. to answer the following questions: dict_keys(['Report the F1 score for statistical general only.', ""fig Report the proposed model's AUC from the ROC curves figure. Ignore the confidence interval.""]). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-4180912,"you need to Run ""clasificador.py"" and ""clasificador_dt.py"". to answer the following questions: dict_keys(['Report the accuracy of the neural network classifier.', 'Report the macro f1 score for the random classifier.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-2816027,"you need to Export the following R default packages: datasets,utils,grDevices,graphics,stats,methods. Then, run 'main.R' using Rscript. to answer the following questions: dict_keys(['fig For CTCF Signature Enrichment, report the name of the group with the highest median GSVA score.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-1394704,"you need to Run 'modular.Rmd' using Rscript and render it as a html. Store the output in ../results. Set clean to 'TRUE'. to answer the following questions: dict_keys(['fig Report the name of the method with the higher R0.', 'Report the R0 of EG.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-1900704,"you need to Run 'evaluation/roc/evaluation_roc_curve_total.py', 'feature_selection/curve_model_training_acc.py', and 'feature_selection/curve_model_training_loss.py'.  to answer the following questions: dict_keys([""fig Report the AUC of 'F-BiGRU' from the ROC curve of (a), Advert.""]). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-2414499,"you need to Run 'demo_density_models.py', 'demo_time.py', and 'demo_complexity_plot.py' using python3.  to answer the following questions: dict_keys(['fig Report the x-axis label of the titanic complexity plot.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-7716865,"you need to Run 'manuscript.Rmd' using Rscript and render it as a pdf. Store the output in ../results. Set clean to 'TRUE'. to answer the following questions: dict_keys(['fig From Table 1, report the sensitivity for 80% power and recalculated mean (regulation).']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-5136217,"you need to Make the following subfolders in the ../results directory: tables, figures, for_publication/tables, for_publication/figures. Run all the .R scripts in the ../code folder using Rscript with 'source' and set echo to 'TRUE'. to answer the following questions: dict_keys(['fig From figure 3 from the figures for publication, report the name of the party ID with the lowest share of political news from portals.', 'fig Report the y-axis label of the figure showing the distribution of avg. alignment by party.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-4671827,"you need to Execute 'PerformanveEval.ipynb'.  Save the results in html format in ../results. For all the runs, disable the cell execution timeout and allow errors. to answer the following questions: dict_keys(['fig Report the name of the mapping with the higher execution time at 44 elements.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-4252248,"you need to Create the symbolic links for ../results output. Create the symbolic links for ../data Data. Run 'main-ctrpv.R', 'main-nci.R', and 'main-network-generation.R' using Rscript. to answer the following questions: dict_keys(['fig Report the overall AUC from the PR curve generated with the CTRPv2 sensitivity dataset, tested against ATC annotations and drug-target information from CHEMBL.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-3849634,"you need to Run 'meta-analysis.R' using Rscript. to answer the following questions: dict_keys(['fig Report N psychosis for Wium-Anderson et al, 2014 for the analysis adjusted for only age, sex, and BMI and CRP measured in adulthood/old age.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-3639589,"you need to Run demo.py in the code/src folder. to answer the following questions: dict_keys(['fig Report the color of the line with the highest maximum activation for target memory activation, DM.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-3821950,"you need to Create a 'figures' directory in the results folder. Run 'ktc_11_paper.Rmd' using Rscript and render it as html. Save the output to the ../results output directory. Set clean to 'TRUE'. to answer the following questions: dict_keys(['fig Report the name of the material with the highest Depth Below Surface at 10,000 calibrated years BP.', 'fig Report the name of the material with the highest mass (g) and 5000 years cal. BP.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-0504157,"you need to Run 'manuscript.Rmd' using Rscript and render it as a pdf. Store the output in the ../results directory. Set clean to 'TRUE'. to answer the following questions: dict_keys(['fig From figure 1, report the CS presentation time with the greatest mean EC effect (ignore units).']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-0921079,you need to Run '01_code.R' using Rscript to answer the following questions: dict_keys(['fig Report a Python list of three elements with the three Type-1 error rates (alpha values) measured in the estimate-comparison test and the sign-comparison test. Sort the list in descending order.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions.
capsule-9240688,"you need to Run the bash script 'run.sh'. to answer the following questions: dict_keys(['fig From figure 3, report the accuracy % of SML.', 'From table 1, report the portion relevant in both corpora.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-3593259,"you need to Run 'physalia_automators.reports' as a python module with /results as the output directory. to answer the following questions: dict_keys(['fig From the violin plot of the energy comsumption of tap, report the name of the framework that consumes the most energy.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-9832712,"you need to Create the following three directories in the results folder: 01_scopus-selection, 02_coding, 03_analyses. Run 'master_script.R' using Rscript. to answer the following questions: dict_keys([""fig From Figure 2 in the cleaned results, report the percentage of 'Not Available' analysis scripts for Pre-RC (2008-09)"", 'fig From Table 1 in the cleaned results, report the number of Included Articles After.OS']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-1175539,"you need to Run ""/code/CardioSCZ.R"" using Rscript. to answer the following questions: dict_keys(['fig Report the name of the patient group with the greater median concentricity.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-2708693,"you need to Run 'preregSR_manuscript.Rmd' and render it as a pdf. Store the output in ../results. Set clean as 'TRUE'. to answer the following questions: dict_keys(['fig From table 1, report the k value for the medicide discipline.', ""fig From table 3, report n for 'percentage of studies with at least one outcome discrepancy that disclose an outcome discrepancy'.""]). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-9911222,you need to Run ''OncoBird/vignettes/OncoBird.Rmd' using Rscript and render it as a pdf. Store the output in ../results. Set clean to 'TRUE'.  to answer the following questions: dict_keys(['fig Report the name of the mutually exclusive model with the highest exclusivity score.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions.
capsule-1724988,"you need to Run 'calibration_error.R', 'lss1_summary_analyses.R', 'lss2_summary_analyses.R', and 'lss2_peak_analyses.R' all using Rscript. to answer the following questions: dict_keys(['fig Report the task name with the higher median walking speed (m/s).', 'fig Report the task name with the higher median straightness ratio.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-2345790,"you need to Set up the following subfolders in the ../results directory: intermediates, figures, stats_figures_markdowns. Run all the .Rmd files using Rscript and render them as html. Store the output files in ../results/stats_figures_markdowns. to answer the following questions: dict_keys(['From Study 1, report the mean of the response rate across all participants.', 'From Study 2, report the mean of the response rate across all participants.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-4299879,"you need to Run '01_motivation.R', '02_design.R', '03_survey.R', '04_metaketa_comp.R', '05_lapop.R', '06_misc.R' using Rscript. to answer the following questions: dict_keys(['fig From the figure measuring homicide rate per 100k in the last 12 months, report the name of the sample with the lower homicide rate per 100k in 2000.', 'fig From the figure measuring bootstrapped predictive distribution of endline trust in police assuming mean regression at rate of mean regression among unexposed citizens, report the p value from the Heard of Meetings plot.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-3262218,you need to Run 'manuscript.Rmd'using Rscript and render it as a pdf. Store the output in the ../results directory. Set clean to 'TRUE'. to answer the following questions: dict_keys(['fig Report the number of methods counter-arguments provided to defend the original study in light of the contradictory replication results.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions.
capsule-1624349,"you need to Execute 'FS-Filters.ipynb'. Save the results in html format in ../results. For all the runs, disable the cell execution timeout and allow errors. to answer the following questions: dict_keys(['Report the best accuracy of the hybrid filter wrapper strategy.', 'fig Report the name of the feature with the highest I-Gain.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
capsule-9054015,"you need to Run 'pancancer_calculation.R' using Rscript. to answer the following questions: dict_keys(['fig Report the percentage sensitivity for cancers A and B that has the highest number of cancers detected per 1,000 women for a 1.0% prevalance of cancer B.', 'Report the 5-year probability of diagnosis for breast tissue origin and age 50.']). Your submitted answer should be a Python dictionary whose keys are exactly those questions and values are the answers. You should install all of the requirements found in the Readme file and then run the commands necessary to answer the questions."
