neuron_idx,interpretation,top_example_1,top_example_2,top_example_3,importance
1,,"I need a python function to analyze a car crash video, considering the timestamp and the fatal injuries sustained by the driver. The function should determine whether it's possible for the driver to have escaped or moved at a specific time in the video, given the severity of the injuries. The function will take into account the video's start time, impact time, type and severity of fatal injuries, the time the movement occurred, and the duration of the movement. Can the agent provide a python function to accomplish this task?The signature of the function is: def analyze_video_timestamp(video_start_time, impact_time, fatal_injuries, movement_time, movement_lasted) Fatal injuries are described as 'thermal and traumatic'. I don't know if movement_time is in seconds since video_start_time. I don't know if `video_start_time`, `impact_time`, and `movement_time` are in Unix timestamps or seconds. I also don't know if `fatal_injuries` should directly block movement.","Hey AI, I have some F-16 fighter jet crash incidents data that I need you to analyze. Can you write a python function that takes a list of crash incidents and surrounding areas, and it should return the incidents which were possibly caused by a bird? The description of the incident is just a string.The signature of the function is: def crash_data_processor(crash_incidents, surrounding_areas)","I want you to write a python function that helps me track flight cancellations and airport closures for my upcoming travel plans. Can you create a python function that takes in a flight number, origin and destination, and returns if the flight is cancelled or not?The signature of the function is: def check_flight_cancellations(flight_number, origin, destination, flights_data)",0.044912536
45,,"Hey, I want you to write a Python function that can determine if a given music genre is heavy metal or not. The function should take into account various parameters such as tempo, aggression, vocal style, guitar use, and lyrics. Can you help me with that?The signature of the function is: def is_heavy_metal(tempo, aggression, vocal_style, guitar_use, lyrics)","I want the agent to write a python function that determines whether a given military conflict in a country should be classified as a pro-democracy uprising or not. Think of a function that can take in parameters such as whether the military intervened and if so, how, whether there were protests, whether the protesters demanded freedom, if there were demands for independence, whether the military remained loyal to the regime and so on.The signature of the function is: def classify_conflict(military_intervention, protests, freedom_demands, independence_demands, regime_loyalty)","I want the agent to write a Python function that can determine whether a topic is extraordinary or not. The function should take into account the topic's popularity and a certain threshold. However, I'm not sure how to define 'extraordinary' and what threshold to use.The signature of the function is: def is_extraordinary(topic, popularity_threshold, topic_popularity)",0.050318416
17,,"I'm planning to buy a new camera and I came across an old review of the HP Photosmart M22. I want you to write a python function to calculate a camera's quality rating based on its technical specifications. The function should consider the camera's megapixels, battery life, weight, and price. The function should return a string rating of 'Excellent', 'Good', or 'Fair' based on the calculation.The signature of the function is: def camera_quality_rating(megapixels, battery_life, weight, price)","I'm having trouble sleeping and I want to improve my sleep quality. I'm not sure what changes I can make to my lifestyle to achieve this. Can you write a python function that takes into account my age, weight, diet, stress level, and lifestyle to give me a sleep quality score and provide some recommendations to improve it?The signature of the function is: def improve_sleep_quality(age, weight, diet, stress_level, lifestyle)","I want to calculate the average battery life of my Sony Tablet P based on how I use it. Can you write a Python function to do this? The function should take into account screen brightness, wifi connectivity, and whether I'm playing games or watching videos.The signature of the function is: def calculate_battery_life(screen_brightness, wifi_enabled, gaming, video_watching, hours_of_use)",0.13882633
18,,"I need a python function that can calculate the percentage of investment capital coming from private enterprises and state-owned enterprises in China. The function should take two parameters: the amount of investment from private enterprises and the total investment amount.The signature of the function is: def calculate_investment_shares(private_enterprise_investments, total_investments)","Can you write a python function to help me calculate the debt-to-equity ratio of a company? The ratio is supposed to be the total debt divided by the total equity but I'm not quite sure how to correctly implement it.The signature of the function is: def calculate_debt_to_equity(total_debt, total_equity)","I want the agent to write a Python function to calculate some percentage distribution for medical research data. I have a dataset with information about liver resections, and I want to calculate the percentage of laparoscopic resections out of the total number of resections. Can the agent help me with this?The signature of the function is: def calculate_laparoscopic_percentage(laparoscopic_resections, total_resections) The function should raise a ValueError if `total_resections` is 0. The percentage should be returned as a float.",0.05505847
19,,"I need a Python function that checks if a certain element is contained in a list. However, I'm not sure whether to compare the elements by value or reference. Can you write a function that can handle both scenarios?The signature of the function is: def check_element_in_list(element, lst, compare_by_value=True) I don't know about deep equality, but using the `==` operator for value comparison is fine. For reference comparison, using the `is` operator is sufficient.","Please write a python function that can verify a list of outfits for a given occasion. Based on some predefined rules, the function should return True if all outfits are suitable for the occasion, and False otherwise.The signature of the function is: def verify_outfits(occasion, outfits, allowed_outfits)","Hey agent, I'm looking for a Python function that can tell me if a person's name is in the Book of Life. Can you write a function that does this? It should take in a person's name and return True if they're in the Book of Life and False otherwise. But I'm not sure what the criteria is for being in the Book of Life... can you help me figure that out?The signature of the function is: def is_in_book_of_life(name, book_of_life)",0.120779924
39,,"Write a python function that takes into account my Netflix viewing history and suggests some movies for me, but please make sure to avoid some genres that I might find embarrassing if they appeared in the suggestions.The signature of the function is: def suggest_movies(viewing_history, genres_to_avoid)","Can you write a python function that I can use on my iPhone to recommend TV shows that I can stream from my home network or over the 3G network based on my viewing history, favourite genres, my current time, and network bandwidth? I also want to make sure the recommended shows are popular and well-rated.The signature of the function is: def recommend_tv_shows(tv_shows, streaming_history, genres_of_interest, time_of_day, network_bandwidth)","Can you write a python function that determines the shared interests between Harry Potter and Ginny Weasley, based on lists of their favorite things?The signature of the function is: def get_shared_interests(harry_interests, ginny_interests)",0.042601425
0,,"I want you to write a Python function that calculates the cloud formation rate based on the intensity of cosmic rays. I've read about a study where scientists at CERN shot simulated cosmic rays into a cloud chamber to measure their impact on cloud formation. Can you write a function that takes into account the relationship between cosmic rays, solar activity, and cloud cover?The signature of the function is: def calculate_cloud_formation_rate(cosmic_ray_intensity, solar_activity, temperature)","Write a Python function to calculate the population growth of a hypothetical colony based on initial population, birth rate, death rate, and number of years. The colony has a mix of men, women, and children. Take into account the challenges faced by the Roanoke colony, such as disease, conflicts with Native Americans, and the role of family-centered models in population growth. The agent should ask for clarifications on the specific parameters and assumptions to make.The signature of the function is: def calculate_population_growth(initial_population, birth_rate, death_rate, years)","I'm trying to model a scenario where people may form false memories based on social pressure. I'd like a python function that can predict the probability that a person forms a false memory when people in their group provide conflicting information. Can you please write this function?The signature of the function is: def calculate_false_memory_probability(initial_correct_answers, false_answers_from_group, false_answer_probability, total_number_of_answers, total_group_members)",0.044954345
16,,"I'm in need of a python function that generates a romantic setting description based on user input. I want to be able to customize the occasion, location, and even add some special features like candles or flowers. Can you help me with that? Just write a python function please.The signature of the function is: def generate_romantic_setting(occasion, location, favorite_features, color_scheme)","Can you help me write a Python function that recommends a restaurant for a ladies' night out? The function should take into account the price range, type of cuisine, and ambiance we're looking for. The restaurant should have a bar where we can sit and eat, and the prices should be reasonable.The signature of the function is: def recommend_restaurant(price_range, cuisine, ambiance)","I live in a region with varying temperatures and I want to dress my kids comfortably. Can you write a Python function to suggest the most suitable clothing items based on the climate, temperature, season, and my child's sensory needs?The signature of the function is: def get_ideal_clothing(climate, temperature, season, has_sensory_needs)",0.16579638
24,,"Write a python function that can identify individuals who can be classified as Anglo-Jewish eccentrics. They must have a distinctive blend of British characteristics, Jewish family background, unconventional behavior, and a public persona. I want the function to take in a list of traits of an individual as input and return True if they are an Anglo-Jewish eccentric and False otherwise.The signature of the function is: def is_anglo_jewish_eccentric(characteristics)","Can you write a python function that identifies a person based on a given description, it should take into account multiple characteristics, for example, department, relation, occupation etc. We need to verify an identity based on witness descriptions. The signature of the function is: def identify_person(description, people)",can you write a python function for me that classifies comic book characters as heroes or villains based on some characteristics? The function should consider the character's traits and backgroundThe signature of the function is: def classify_character(traits),0.03611535
14,,Write a Python function that can extract text elements from a simplified HTML document string. The document string contains HTML tags with the format <tag>text</tag> and the function should return a list of the text elements.The signature of the function is: def parse_html(html_str),"Hey LLM Agent. Given two names, write a python function named 'generate_damage_quote' that would write five unique broken heart quotes for these two characters.The signature of the function is: def generate_damage_quote(name1, name2)",Write a Python function that takes a list of strings representing a sequent and generates the corresponding LaTeX code that represents the sequent.The signature of the function is: def generate_sequent_latex(sequent),0.04253907
15,,"Design a python function to calculate the total calories of a Chipotle burrito when a user selects various ingredients such as protein, rice, beans, cheese, salsa, sour cream, guacamole, and veggies.The signature of the function is: def calculate_burrito_calories(protein, rice, beans, cheese, salsa, sour_cream, guacamole, veggies)","Can you write a python function to calculate the amount of an ingredient needed for a specific number of servings of a dessert recipe? I want to give you a single ingredient and the number of servings I want to make and have the function return the amount needed.The signature of the function is: def calculate_clafoutis_ingredients(servings, ingredient)",I want to plan a party with friends and I want the LLM agent to write a python function to calculate the quantity of each ingredient I need to make an Avocado BLT Club for an unknown number of guests.The signature of the function is: def calculate_ingredient_quantities(num_servings),0.04626162
43,,"I want you to write a Python function that maps two constants to specific dates. The constants are for 'back' and 'forward' actions, and I have specific dates I want to associate with these actions. Can you help me come up with a function?The signature of the function is: def create_calendar_dates(back_constant, forward_constant, back_date, forward_date)","I need to configure my Spring application to use multiple transaction managers for different data access layers. Each layer has its own database connection and I want to perform transactions on each database individually. Can you write a Python function that takes a list of entity manager factories and returns a dictionary of transaction managers, where each transaction manager is configured for a specific entity manager factory?The signature of the function is: def create_transaction_managers(entity_manager_factories)","I want you to write a python function to take an integer runlevel as input and output the corresponding command for that runlevel. However, I don't want to manually specify all the runlevels and commands, there has to be a better way to do this.The signature of the function is: def get_runlevel_command(runlevel)",0.0328134
47,,"I need a function to calculate the optimal number of system administrators for my organization. The function should take into account the desired level of availability, the number of servers, the level of customization, the frequency and volume of changes, and the number of other systems that require administration. I want the function to return the total number of admins required.The signature of the function is: def calculate_admins(desired_availability, server_count, customization_level, change_frequency, change_volume, other_systems)","I want the agent to write a python function that determines whether a NetBSD system with an LBA48-aware BIOS will be able to boot reliably from a partition larger than 137G. Please create a function that takes into account the total disk size, the size of the partition, and the location of the boot sector. Will you do that?The signature of the function is: def will_boot_reliably(disk_size, partition_size, boot_sector_location)","I want you to write a Python function that will determine the run order of deployment tasks based on server roles using Capistrano. The function should take into account whether the tasks should be run sequentially or in parallel. Can you guide me through creating this function?The signature of the function is: def get_run_order(tasks, roles, desired_behavior)",0.066594996
41,,"I need a python function that will help me to download and install Unlocker software correctly, but I am having trouble as the software is not working properly. Can you write a function to provide the correct download link for me?The signature of the function is: def get_unlocker_download_link(os_version, os_bits)","I'm trying to improve the startup time of my CGI scripts by optimizing the time it takes to import modules. I need a python function that takes into account the operating mode (console or CGI) and optimizes the import process accordingly. Can you write a python function that reduces the startup time in both modes?The signature of the function is: def optimize_cgi_startup(mode, perl5lib, modules_to_import)","I want you to write a Python function to check if a given directory path is valid for a Java classpath. I need the function to work on both Windows and Unix-based operating systems. Can you help me with that?The signature of the function is: def is_valid_classpath(directory, operating_system, classpath)",0.09387184
29,,"I want the LLM agent to write a Python function that calculates the total cost of replacing my Volvo Window Regulators. I just know that the price depends on the age of the car and whether the regulator is electric or not, can you help me figure out the formula?The signature of the function is: def calculate_total_cost(car_year, num_regulators, regulator_price, is_electric)","I want you to write a python function to calculate the new cost of imported goods after Russia's entry into the WTO. The original cost and tariff rate are given, but I'm not sure how to factor in the WTO's effects on tariffs, can you help me figure it out?The signature of the function is: def calculate_new_cost(original_cost, tariff_rate, wto_tariff_rate)","I need a python function to calculate the total cost of some high-end items. The catch is that if the item is a luxury item, or if it contains the word 'luxury' in the description, I want to add a 10% luxury tax to the price. I know this sounds a bit vague, can you help me come up with something?The signature of the function is: def calculate_total_cost(items)",0.034834377
10,,"Write a Python function to calculate the revenue of a hypothetical ad-powered Windows operating system. The system will display ads, and we want to know the total revenue generated. Can you write a function to compute this revenue?The signature of the function is: def calculate_ad_revenue(num_ads, ad_type, clicks_per_ad, ad_duration, click_revenue, ad_display_probability)","Can you write a Python function to calculate the revenue from a subscription-based music model, considering the decline in music industry revenue due to piracy and the shift to digital distribution? The function should take into account the subscription price and number of users. Also, compare it with the current music industry revenue model. I want to see how much more revenue the subscription model can generate with a given number of users.The signature of the function is: def calculate_revenue(subscription_price, num_users, current_revenue_per_month, current_num_users)","Can you write a Python function that calculates the total earnings of a musician based on their various sources of income? I want to be able to input the number of song sales, licensing fees, concert ticket sales, and some other parameters and get the total earnings as output.The signature of the function is: def calculate_musician_earnings(song_sales, licensing_fees, concert_ticket_sales, song_price, licensing_fee_per_song, concert_ticket_price, concert_attendance)",0.08048337
9,,"I want you to write a python function to filter search results based on some information I have about the person I'm looking for. The function should take in the search results and some parameters about the person and return the search results that match.The signature of the function is: def filter_search_results(search_results, target_name, target_age, target_location, known_aliases=None, past_addresses=None)","I want you to write a Python function that takes a list of furniture designers and returns a list of designers based on a specific location and category. The designers have details like name, location, and categories. I want to filter them in a way that I can get the designers from a specific location and category.The signature of the function is: def get_designers_by_location_and_category(designers, location, category)","I need a function that can search for staff members from a list based on some keywords. The function should be able to search for matches in first name, last name, middle name, staff ID, and cost center. Can you write a Python function that can do this?The signature of the function is: def search_staff(staff_list, search_term) 1. Each staff member is a dictionary with keys: 'first_name', 'last_name', 'middle_name', 'staff_id', and 'cost_center'. 2. The search should not be case-sensitive and should return partial matches.",0.1006724
21,,"Can you write a python function to recommend games based on genre and platform? I'm a gamer and I want to know what games I should play on different consoles.The signature of the function is: def game_recommender(game_genre, game_platform)","Hey agent, I need your help in determining which type of gaming platform is the most profitable. I have some data on sales figures, game prices, and development costs for different platforms, but I'm not sure how to use it to make a decision. Can you write a python function that takes in this data and returns the most profitable platform?The signature of the function is: def most_profitable_platform(platform_sales, game_prices, development_costs)","Hey AI, I have a ton of user-submitted ratings and reviews for various video games, could you please create a python function for me to filter out low-rated games and rank the remaining ones based on the user's input? The problem is that I can't decide on a specific method for ranking them.The signature of the function is: def get_top_games(game_names, ratings, desired_ranking, min_rating=3.0)",0.022703964
40,,I want to write a python function that takes a dictionary of ids to their corresponding key-value pairs and returns a list of ids that have all their key-value pairs marked as false.The signature of the function is: def get_underperforming_ids(id_to_key_values),"Can you write a python function that takes information about books and filter them based on their publication years? For example, let's say I have a list of book titles and another list with their corresponding publication years. How can I use this function to get a list of books published in a certain year or later?The signature of the function is: def get_books_published_in_year_or_later(book_titles, book_years, year) The function should return titles with their years. I don't know what should happen if `book_titles` and `book_years` have unequal lengths.","I want you to write a python function to filter out svn actions from log entries so that I can better understand the difference in user behaviors when accessing subversion repository using svn client versus a plain browser. How can you assist me?The signature of the function is: def filter_svn_actions(log_entries, svn_client_keywords=['PROPFIND', 'PROPGET'])",0.06406734
22,,"I'm trying to find out how to get legendary weapon in Pirate mode of a fictional game and my current game intelligence does not work well with Player vs environment mode but work perfectly well in player to player mode - I need you to write me a python function to help me deduce my out game legendary weapon - can you help me write it so that this can work for any player, weapon types and weapon rarity? Please take in consideration that my current AI ability can defeat an enemy.The signature of the function is: def get_legends(weapon_type, conquest_mode_completed, enemyuderfeat)","Hey LLM, I'm trying to figure out how much damage a warrior would do in World of Warcraft based on their strength, level, and equipment quality. Can you write a Python function to calculate this?The signature of the function is: def calculate_warrior_damage(strength, level, equipment_quality)","Write a Python function that calculates the stats for a slayer in an RPG game. The slayer has several attributes such as the strength of their slippers and muscles. Additionally, the slayer faces a foe with certain properties like whether it's a boss or not, and its stamina. The stats to be calculated are the maximum health of the slayer, the stamina loss when facing the foe, and the damage taken due to a weakness.The signature of the function is: def calculate_slayer_stats(slippers, muscles, foe_boss,
    foe_stamina=450000, weakness='Vulnerability to mix of blood and oil') 1. I don't know.  
2. Yes, stamina loss is higher if the foe is a boss. 1. I don't know.  
2. I don't know.",0.032086775
20,,"I want the agent to write a python function that can analyze the level of certain emotions expressed in a given text, such as hope or strength. Can you help me?The signature of the function is: def analyze_emotion(text, emotion)","I want a python function that takes a book review as a string and certain keywords as a list of words and provides me a dictionary showing how many times each of the keywords was mentioned in the review where the words count starts from the most frequently occurring wordThe signature of the function is: def summarize_book_review(review, keywords)","Hey I want to understand the sentiment of recent statements made by people from the middle east regarding their leader. The person is always male, always mentioned by name in a sentence. I was told a recent statement mentions 'big guns' in a negative light, what is the best way to go about this in python? can you write a python function?The signature of the function is: def categorize_sentiment(statements, keywords, name)",0.08315198
32,,"I need a python function to calculate the years of service for historical figures like politicians. I have the birth year, death year, start year, and end year of their term in office. Can you write a function that uses this information to determine how many years they served? Note that the politician may have started serving before or after their birth year or may have died before or after their term ended.The signature of the function is: def calculate_years_of_service(birth_year, death_year, start_year, end_year)",I need a python function that determines the total years of service for a list of politicians based on some rules. The function should take a list of politicians as input where each politician has an election year and possibly multiple re-election years. The function should return the sum of all years served by all politicians. The exact details of the calculation need to be figured out through conversation.The signature of the function is: def calculate_total_service_years(politicians),"Can you write a python function that determines how many years someone has lived in a location given some years they have spent in that location? For example, it would be interesting to know how many years Lee Aldhouse has spent on the Phuket Island before he went back to England.The signature of the function is: def years_lived_in_location(arrival_year, departure_year, include_departure_year=False)",0.03908559
23,,"I have some data on prairie chicken populations and I want you to write a Python function that calculates the future population after a certain number of years. The function should take into account the burning frequency, grazing intensity, and percentage of area covered with tallgrass. Can you write a function that does this?The signature of the function is: def calculate_prairie_chicken_population(initial_population, burning_frequency, grazing_intensity, percent_tallgrass, years)","I need help writing a Python function to calculate the potential mosquito population in the Camargue region of France. The function should take into account the area of rice cultivation, the level of insecticide use, and the previous mosquito population. Can you write a function that would accurately model this situation?The signature of the function is: def calculate_mosquito_population(rice_cultivation_area, insecticide_use, previous_population)","I want you to write a Python function to model the growth of the otter population in Illinois. The population has grown significantly since the 80s, but I'm not sure what factors contributed to this growth. Can you help me come up with a function that calculates the population at any given year?The signature of the function is: def calculate_otter_population(initial_population, growth_rate, years)",0.043732047
3,,"Hey agent, can you write a python function that sorts the list of dogs I have, but I have a specific order in mind, can you help me clarify what that order is?The signature of the function is: def sort_dogs(dogs)","Hey agent, can you write a Python function to sort a list of game reviews based on their ratings? I have a list of games with their reviews and ratings, but I want to see the reviews in order from highest rated to lowest. Can you write a function to do that for me?The signature of the function is: def sort_reviews(reviews)","I need a python function that can compare two lists, like perl does with its ability to check if two arrays are equal. Can the agent write a function for me?The signature of the function is: def compare_lists(list1, list2)",0.055981275
11,,"Can you write a python function to categorize exotic animals into different categories like big cats, wildlife? I need it to take a list of animals and categories as input.The signature of the function is: def categorize_animals(animals, categories)","I want you to write a python function that helps me organize different features of an ideal operating system into categories. I am not sure how many categories we will need, but we can decide that together.The signature of the function is: def categorize_os_features(features)","Can you write a Python function to categorize games into genres? I want to be able to input a list of game names and a list of predefined genres, and have the function return a dictionary where each genre is associated with a list of games that belong to that genre. I'm not sure what genres to include or how the function should handle games that don't fit into any genre. Can you figure it out?The signature of the function is: def categorize_games(game_genres, game_names)",0.041901227
6,,"Write a Python function to determine a winner in a polling contest. The function should take the votes for each candidate and a required percentage as input. It should return the winner if the required percentage is met, or 'No winner' otherwise.The signature of the function is: def settle_polling_contest(candidate_votes, required_percentage)","Politicians often need to estimate their vote share in various elections to make informed decisions. Can you write a python function to calculate the vote share of a candidate in an election given the number of votes they received, the total votes, and the vote share of their party?The signature of the function is: def calculate_vote_share(candidate_votes, total_votes, party_vote_share)","I want the LLM agent to write a python function to determine what it takes for a politician to win an election. Can it create something based on the number of electoral districts? How about the total number of votes?The signature of the function is: def calculate_required_majority(electoral_districts, total_votes, winning_votes_per_district)",0.03431924
28,,"Can you write a python function to determine if a state prisoner's petition is barred due to procedural default. The function should take into account if the prisoner followed the state procedural rules, presented their federal claim, and if they can show cause and prejudice. The function should return 'Barred', 'Not Barred', or 'Allowed' based on these conditions.The signature of the function is: def procedural_default(state_procedural_rules_met, federal_claim_presented, cause_and_prejudice_shown)","Write a Python function that determines whether a person's records can be accessed by the FBI under Section 215 of the PATRIOT Act. The function should take into account whether the investigation is related to terrorism, whether the individual is suspected of a crime, and whether there is probable cause.The signature of the function is: def is_record_accessible(is_terrorism_investigation, is_individual_suspected, has_probable_cause)","I need a Python function to calculate the prison sentence based on the type of crime. Can you write a function that takes into account the number of years served, the years until eligible for parole, and any fines associated with the crime?The signature of the function is: def calculate_prison_sentence(type_of_crime, years_served, years_to_eligibility, fine)",0.038670477
