,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
item_52,0.64648336,-0.13536112,-0.23915568,0.030253747,-0.070712805,-0.45850232,0.15988193,0.28669587,0.11907474,0.084848166,0.26093212,-0.5631507,0.45263225,0.010374307,-0.19900674,0.36747196,-0.513648,0.04215656,-0.09088461
item_53,-0.13116392,0.07990658,0.16012457,0.3221983,-0.019434746,-0.012724934,0.32213154,-0.28768706,-0.47063422,0.23222598,-0.42324,-0.29394236,0.49226755,0.011295003,-0.58133185,1.0357747,-0.33998063,0.05158922,-0.35517058
item_54,-0.32527265,-0.017634321,0.08394008,-0.09915185,0.10400235,-0.020373866,0.1602917,-0.17513059,-0.3610012,0.51047695,-0.1130609,0.0015780211,-0.10200196,0.15202147,0.04827188,0.36735612,0.084531665,0.3459124,0.030266061
item_55,-0.3790966,-0.043995615,-0.11211539,0.4050801,-0.011336345,-0.17269802,0.18378061,-0.6633479,-0.5716962,0.18328978,-0.471004,0.2655315,0.23124456,-0.16972108,-0.42517793,0.51589274,-0.20830122,0.37426698,-0.02312538
item_56,-0.18346736,-0.38386962,-0.15361437,-0.26312062,0.24429643,-0.05735368,0.19935174,0.37234566,-0.256955,0.36875153,0.12166298,-0.6475969,0.51892257,0.50253487,0.37308988,0.37568578,0.048755564,-0.3212483,0.19063123
item_57,0.019916162,0.18821093,-0.4540445,-0.0642733,0.0091636395,-0.36458623,0.41750786,0.5436073,0.10319326,0.085773006,-0.14450657,-0.3310143,0.23191932,0.19492929,-0.01697962,-0.063049,0.4234998,-0.5773296,-0.07356946
item_58,-0.18366344,0.023916446,-0.14177111,-0.038468473,0.13818488,-0.17990027,0.44784626,-0.16305518,-0.55701745,0.013143779,0.46877298,-0.08254483,-0.024439238,-0.041148707,0.5597462,-0.19679621,0.078137,0.13438274,0.081054665
item_59,0.064870626,0.18991473,-0.014025708,0.11901118,0.031063419,-0.0646719,-0.08267316,0.04572923,-0.5065882,0.16204758,0.39172885,0.032924026,0.42266843,0.13154808,-0.1534055,0.40052864,-0.11733164,-0.094258964,-0.1951817
item_60,0.1956735,0.06706467,-0.20137225,-0.2324607,-0.25852948,-0.45500222,-0.06650576,-0.026006063,-0.1281284,-0.24621882,0.1858683,0.25247043,0.22160225,0.35755092,-0.2419285,0.22803198,0.25242946,-0.34125438,-0.3033858
item_61,-0.2704127,0.10433318,0.08241953,-0.4177909,0.07130703,-0.20979337,-0.17512372,0.21829656,-0.50822675,-0.0448298,0.032824524,0.39868355,0.49024364,-0.16296169,0.18208842,-0.40938422,-0.25034362,-0.39887097,-0.35106817
item_62,0.07649969,-0.039829426,-0.29921797,-0.13919316,0.2203853,-0.25257415,0.034295008,0.5280664,-0.5009993,0.29893515,0.14323002,0.0031016986,-0.14466614,0.024309585,0.036269493,-0.42142233,-0.00021387979,-0.11832553,-0.11236268
item_63,-0.23566411,0.12256834,-0.059875403,-0.088388704,0.008100449,-0.35295445,-0.045172095,-0.6028581,-0.22723748,0.6982063,-0.12732022,0.10621611,-0.13833433,0.08964152,0.13482697,-0.050158482,0.32144707,0.17770974,-0.19573332
item_64,0.19707614,0.1565324,-0.00432999,-0.06395247,-0.20026284,-0.14888129,-0.2396638,0.14878623,-0.1726713,-0.09488234,0.0010488682,-0.14852296,0.014236578,0.57241476,0.58905256,-0.17351578,0.4937702,0.08386563,0.046079855
item_65,-0.36342484,-0.17130846,-0.09038076,-0.002108701,0.10790647,-0.64257914,-0.079812236,0.31188437,0.07903556,0.48062554,-0.3319964,0.32724598,0.31030762,0.022381624,0.18318394,-0.26013148,-0.26567847,-0.026074376,-0.32933697
item_66,-0.05601804,0.7271752,-0.22026098,-0.16236058,-0.39604995,0.18688147,-0.21931484,0.34275138,-0.76494414,-0.14485836,0.07628519,-0.07659236,0.31333694,0.10128992,-0.09185829,-0.10845658,0.5993357,-0.40979096,-0.1365021
item_67,-0.27418312,0.26701427,0.099879295,0.21986422,-0.01825044,0.059220243,-0.10552425,0.1828288,0.15040803,0.1589943,-0.025964037,0.032705877,-0.08124214,0.17557961,0.119755484,0.3981534,0.09311715,-0.00091087254,-0.35658777
item_68,0.0024460077,-0.19164824,-0.22327957,0.28674686,0.1149038,-0.23090725,0.03577739,0.33005235,-0.019015236,0.031150993,0.28022602,-0.2642257,-0.483483,0.042953666,0.20135064,0.15530467,-0.0033637604,-0.07936471,-0.21953954
item_69,0.5189289,-0.11526211,-0.3503387,-0.14550301,-0.123204514,-0.44623014,-0.15395376,0.070001185,-0.4685868,-0.20125285,-0.2161856,-0.053885683,0.50001305,0.08840003,0.011140654,-0.22706728,-0.5758259,0.031419322,0.027920458
item_70,-0.30483502,0.145108,0.009197434,0.04669286,0.5837454,-0.23023449,0.48855078,-0.324412,-0.32771885,0.19319637,0.09589648,0.28109315,-0.24195825,0.5948215,0.010979905,0.4082693,-0.1445933,0.023522198,-0.13836527
item_71,0.25760055,0.039635424,-0.20256443,-0.0070998077,0.5518442,-0.14658101,0.4463863,-0.09193571,0.563708,0.38274395,-0.22597867,-0.25096455,0.25000608,0.32457918,-0.43574718,0.54205006,-0.065694645,-0.0902327,-0.022892023
item_72,0.06213446,-0.08952126,-0.3034294,-0.036199324,0.3069294,-0.060057547,0.054113172,0.23512664,-0.20606367,0.07219144,0.14883152,0.1929782,0.11638869,0.12866803,-0.14517751,0.08738644,0.427883,-0.0697942,-0.2984665
item_73,0.15975626,-0.45126113,-0.38205954,0.015851585,-0.7446203,0.18833175,-0.3089977,0.38107443,-0.7108081,-0.61948216,0.03144008,-0.030063096,0.63820684,0.18263948,0.32962808,0.019810513,0.17987193,-0.03596654,0.15456592
item_74,0.20799561,0.43278533,-0.19160303,-0.15858667,-0.108275406,-0.17726204,0.09221042,-0.019389728,-0.1281665,0.21765678,0.30054453,0.026165798,-0.052730832,-0.118123725,0.050458524,-0.016081912,0.10243645,-0.04275591,-0.2082899
item_75,-0.19018336,-0.073179476,-0.19756606,-0.11955584,-0.10090238,0.18284826,-0.23238124,0.122941874,-0.18150577,-0.18813513,0.45838827,-0.0077871555,0.3509735,0.55039865,-0.38013238,-0.16349943,0.40346184,0.22511949,-0.23479871
item_76,0.006497462,0.16125938,-0.6029089,0.20021878,-0.60712665,0.07992641,-0.53171366,-0.18757331,0.10132044,-0.0811586,0.3619752,0.075495645,0.401722,0.58868426,-0.3063084,-0.3667219,0.7159056,0.015309538,-0.30166465
item_77,0.505319,-0.40128502,-0.09730395,0.3888562,-0.118161425,-0.525971,0.12367077,0.3083867,-0.84164375,0.07436316,0.0057095606,-0.03611107,0.1970278,0.13775939,0.03448199,0.30982837,0.39490974,-0.20843062,-0.27298224
item_78,0.1773316,-0.5224241,-0.09909189,-0.03271967,-0.06151396,-0.4292826,0.032991186,0.040617235,-0.38572696,0.06848745,0.13445874,-0.28179508,0.6617515,0.047385618,0.2288197,0.238664,0.15071858,-0.043471925,-0.41260353
item_79,0.4278853,0.36834723,-0.2229636,0.3258158,0.24491791,-0.46178544,0.6138191,-0.2524565,0.2502157,0.03513897,0.27599287,0.36628315,0.33961228,0.25594944,0.21725555,-0.35213464,0.26782697,-0.4664259,-0.08572452
item_80,0.3992088,-0.120574206,0.21690875,-0.06271244,0.31137437,-0.09309883,0.015289075,0.2412887,-0.7488969,0.057785187,-0.24016662,-0.23566927,-0.21303308,0.8711071,-0.08248875,-0.018170206,0.19077416,0.24101496,-0.28044885
item_81,0.2442895,-0.005232449,0.26784936,-0.4013138,0.7738267,-0.166429,-0.010997995,0.14710608,-0.077312514,-0.23555899,-0.10807007,-0.48766416,0.21819977,0.043376967,0.34265345,0.48216832,0.21254735,-0.053821802,-0.0031388723
item_82,0.043976866,-0.63958365,-0.13942136,-0.13248816,0.18833877,0.20317553,0.008707008,0.080525674,0.42650113,0.33302286,-0.3961567,0.3970382,0.057807174,0.44976443,-0.034455348,0.48381343,-0.10736418,-0.2373803,-0.230234
item_83,-0.0386571,0.5221106,-0.4969294,0.07577075,0.060969643,-0.00059639174,-0.2458898,-0.120201595,-0.18505724,0.13332152,0.22423878,0.2668585,-0.22855228,0.46005204,-0.20924117,-0.16226308,0.82137346,-0.39569953,-0.213385
item_84,-0.27851096,-0.26107714,-0.1988813,-0.31010967,-0.43375438,-0.4730079,-0.011884216,0.0815124,-0.18653183,-0.12552817,0.40147766,0.050634652,0.17417458,0.21213119,-0.044824753,0.17374146,-0.16452073,-0.4648636,-0.12179355
item_85,0.5650436,-0.2182207,-0.36831692,0.039114382,-0.9289379,-0.4550969,0.21277487,0.4949119,-0.28882074,0.27915102,0.11496869,0.4472492,0.258328,-0.36936274,-0.065481044,-0.14815691,-0.44213238,-0.23010604,-0.6522186
item_86,-0.19759458,0.16072765,0.14112297,-0.18009223,0.35653657,-0.08335781,-0.23061754,0.5727302,-0.024530653,-0.058736812,0.14336427,-0.15517546,0.0675479,-0.43123507,0.63491225,0.057779618,0.3816076,-0.07925253,-0.73376113
item_87,0.07287834,-0.10069208,-0.5199121,0.03277369,0.051302347,-0.05085334,0.17817,0.22268882,0.13878083,-0.2897932,0.35132575,-0.10959852,-0.17455427,0.019984636,0.32151324,0.35250202,0.014347815,-0.3194198,0.25886777
item_88,0.2605876,0.40173894,-0.3232536,-0.015446807,0.5650772,0.10861534,-0.16182533,0.031054499,0.02575296,-0.06515305,0.017649943,0.25041234,-0.17028376,-0.36478367,-0.071323715,0.08862412,0.07425661,-0.4545291,-0.1382363
item_89,0.1236192,0.3878846,-0.15556867,0.031077554,0.26089224,-0.5238851,0.21046989,0.05025669,0.37865993,-0.2238433,0.656051,-0.42074963,-0.3826225,-0.0036411737,-0.007554206,-0.8452141,0.55342567,0.118977636,0.17316173
item_90,0.107656814,-0.23274595,-0.05857982,-0.05571402,-0.71855235,-0.18597214,-0.22845873,0.16404805,-0.5279314,-0.058427714,0.24249612,0.31175423,-0.12912989,0.43420473,0.123313375,-0.20814429,0.13616173,0.107416995,-0.3003725
item_91,0.23066048,-0.25298825,-0.4366327,0.11671798,0.6619867,-0.11487977,-0.10087593,0.60333854,-0.16064392,-0.0772915,0.08805765,0.14023452,0.2790216,-0.010617668,0.32870886,0.0415474,-0.19270465,-0.06419002,0.006693705
item_92,-0.11165828,-0.030120509,-0.27634922,-0.28055057,-0.63266915,-0.5796814,-0.12379653,0.3284278,-0.27109045,0.036715355,0.013401818,-0.34388265,0.078759804,-0.07950384,0.004270557,0.6029126,0.36184013,-0.05443002,-0.24881235
item_93,-0.30418518,-0.027906977,-0.13502659,-0.1093551,0.07518114,-0.34362417,-0.07907677,0.17424823,-0.12746972,0.22889267,0.4258729,-0.36022496,-0.028522734,-0.39550602,0.27468115,0.4570892,0.07188956,0.26926622,-0.41009668
item_94,0.359199,0.23629215,-0.19681905,-0.14597355,-0.42697513,0.017947169,-0.35879803,0.1378952,-0.09230243,-0.1574067,0.21787737,-0.067588404,-0.15258963,0.003211332,-0.003805908,0.4319814,-0.27528113,-0.1465166,-0.43333754
item_95,0.16768484,0.42682293,-0.14164065,0.041921135,0.43167725,-0.12353429,0.21360712,-0.06518994,0.41670638,0.01817861,-0.14713809,-0.16476397,-0.3971136,0.29473695,0.4736441,-0.1755026,0.016508363,0.17450291,-0.40528798
item_96,0.056956146,0.34059846,-0.40966645,0.14986773,0.16312034,0.090887785,0.75814474,-0.61661035,-0.49171856,0.032607384,0.17171143,-0.16197543,0.44781116,0.20284227,0.05770094,-0.22407016,1.0138077,-0.24534395,-0.13739975
item_97,-0.059120882,-0.13480805,0.008831433,-0.237863,-0.15147154,0.08219429,0.5115048,0.27099225,0.0012029391,0.53893113,-0.2389887,0.43282613,0.17094514,0.091086864,-0.31706014,0.2365033,-0.38268864,-0.2931554,-0.49924102
item_98,0.18494341,-0.04110972,-0.12959859,0.11647839,0.2775304,-0.19275953,0.19487722,0.20747386,-0.16535576,0.015534936,0.012517319,-0.32536772,0.24263678,0.11893959,-0.28864855,-0.04543813,-0.3742086,-0.32224816,0.18430255
item_99,-0.19768141,-0.38175744,-0.2493556,0.18563746,-0.21710384,-0.32174078,-0.009510979,0.025869057,-0.3481094,0.32822937,0.07239416,-0.37709922,-0.11053713,0.20220973,0.20201011,0.005352908,0.39420563,-0.14490122,-0.07181369
item_100,0.105457544,0.04957256,0.2866965,-0.13165224,-0.24028282,-0.400296,-0.16862707,0.64257836,-0.19019774,-0.10001821,-0.03585967,0.1110737,0.1601661,0.62225354,-0.16388592,-0.33930272,0.46016613,-0.08391418,-0.043862317
item_101,-0.26650906,-0.2795964,-0.04653439,0.025758741,0.07193624,0.3484861,-0.046636138,0.025948912,0.2043023,0.08120576,0.35398614,0.3393329,0.38865098,-0.34333956,0.106035575,0.15722471,0.17947939,-0.16839385,0.15089086
item_102,-0.2881374,-0.2681011,0.12471718,0.012387639,-0.40419698,-0.3481135,-0.38493633,0.35811764,-0.46788743,-0.080494754,-0.010999596,-0.023282507,0.1510037,0.33876306,-0.17230526,0.20534638,0.6778011,-0.06102985,-0.3332741
item_103,0.070590235,-0.16964199,-0.47087172,0.10418726,-0.19274351,-0.11051424,0.027879732,0.22037789,-0.69190705,0.038383495,0.09942673,-0.08781799,0.2275062,-0.57691246,-0.06690308,0.20157243,0.49906912,-0.1467817,-0.4202397
item_104,-0.005211337,-0.12891594,-0.33864373,-0.061277702,-0.021080691,-0.2735997,-0.15355171,0.38546658,-0.081822954,-0.007695326,-0.032485653,-0.07831417,0.14697309,0.61602795,-0.2163935,0.32767797,0.53172165,-0.16443585,-0.4195744
item_105,-0.053973712,0.08366869,-0.0031874771,-0.7189009,-0.045474548,0.18563357,-0.0765234,0.79618776,0.04877151,0.011413899,-0.06352613,-0.1974407,0.7118347,-0.28418446,0.2685649,0.4130517,0.34570935,0.30033496,0.08594155
item_106,-0.091937736,-0.2394249,-0.20796008,0.057679527,-0.1547454,-0.11212076,-0.4134569,0.5363743,0.015833754,0.20216025,-0.11789778,-0.20493351,-0.077552654,-0.25613543,-0.07294717,-0.22110194,0.2524023,-0.21101815,0.39414543
item_107,0.07590558,0.3039969,-0.23019429,-0.09663907,-0.3120345,0.19982077,-0.0023761184,-0.054773588,-0.31703702,-0.022156788,-0.021959146,-0.13632187,0.4402849,0.32446855,-0.112012796,0.1092274,0.19285564,0.07671183,-0.15929034
